accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,deployment_disagreement_penalty,deployment_reject_margin,deployment_risk_penalty,deployment_vote_threshold,excess_over_candidate_oracle,gate_steps,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,loss,no_harm_margin,oracle_match_rate,policy,predicted_epistemic_mean,predicted_regret_mean,predicted_sigma_mean,propagation_steps,regret_corr,regret_retriever_steps,retriever_steps,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,test_samples,total_objects_n,train_candidate_regret_accept_rate,train_candidate_regret_gate_loss,train_seed_count,train_static_learned_loss,train_uncertainty_regret_accept_rate,train_uncertainty_regret_gate_loss,validation_samples_per_seed
0.288889,0.511111,4,0.940478,8,600,0.0,0.0,0.5,0.5,0.028755,600,4,0.122222,11,pairwise,0.969233,0.0,0.077778,crossfit_regret_gate_m0_r0p5_d0_v0p5,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.266667,0.011111,0.0,0.277778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.711111,0.011111,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.255556,0.511111,4,0.940478,8,600,0.0,0.0,0.5,0.75,0.029383,600,4,0.122222,11,pairwise,0.969861,0.0,0.055556,crossfit_regret_gate_m0_r0p5_d0_v0p75,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.233333,0.011111,0.0,0.244444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.744444,0.011111,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.022222,0.511111,4,0.940478,8,600,0.0,0.0,0.5,1.0,0.029326,600,4,0.011111,11,pairwise,0.969804,0.0,0.022222,crossfit_regret_gate_m0_r0p5_d0_v1,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.011111,0.011111,0.0,0.022222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977778,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.2,0.511111,4,0.940478,8,600,0.5,0.0,0.5,0.0,0.028969,600,4,0.088889,11,pairwise,0.969448,0.0,0.055556,crossfit_regret_gate_m0_r0p5_d0p5_v0,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.188889,0.011111,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.2,0.511111,4,0.940478,8,600,0.5,0.0,0.5,0.5,0.028969,600,4,0.088889,11,pairwise,0.969448,0.0,0.055556,crossfit_regret_gate_m0_r0p5_d0p5_v0p5,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.188889,0.011111,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.2,0.511111,4,0.940478,8,600,0.5,0.0,0.5,0.75,0.028969,600,4,0.088889,11,pairwise,0.969448,0.0,0.055556,crossfit_regret_gate_m0_r0p5_d0p5_v0p75,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.188889,0.011111,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.022222,0.511111,4,0.940478,8,600,0.5,0.0,0.5,1.0,0.029326,600,4,0.011111,11,pairwise,0.969804,0.0,0.022222,crossfit_regret_gate_m0_r0p5_d0p5_v1,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.011111,0.011111,0.0,0.022222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977778,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.144444,0.511111,4,0.940478,8,600,1.0,0.0,0.5,0.0,0.029943,600,4,0.088889,11,pairwise,0.970421,0.0,0.022222,crossfit_regret_gate_m0_r0p5_d1_v0,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.133333,0.011111,0.0,0.144444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.855556,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.144444,0.511111,4,0.940478,8,600,1.0,0.0,0.5,0.5,0.029943,600,4,0.088889,11,pairwise,0.970421,0.0,0.022222,crossfit_regret_gate_m0_r0p5_d1_v0p5,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.133333,0.011111,0.0,0.144444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.855556,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.144444,0.511111,4,0.940478,8,600,1.0,0.0,0.5,0.75,0.029943,600,4,0.088889,11,pairwise,0.970421,0.0,0.022222,crossfit_regret_gate_m0_r0p5_d1_v0p75,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.133333,0.011111,0.0,0.144444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.855556,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.022222,0.511111,4,0.940478,8,600,1.0,0.0,0.5,1.0,0.029326,600,4,0.011111,11,pairwise,0.969804,0.0,0.022222,crossfit_regret_gate_m0_r0p5_d1_v1,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.011111,0.011111,0.0,0.022222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977778,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,2.0,0.0,0.5,0.0,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r0p5_d2_v0,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,2.0,0.0,0.5,0.5,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r0p5_d2_v0p5,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,2.0,0.0,0.5,0.75,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r0p5_d2_v0p75,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,2.0,0.0,0.5,1.0,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r0p5_d2_v1,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,0.0,0.0,1.0,0.0,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r1_d0_v0,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,0.0,0.0,1.0,0.5,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r1_d0_v0p5,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,0.0,0.0,1.0,0.75,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r1_d0_v0p75,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,0.0,0.0,1.0,1.0,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r1_d0_v1,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,0.5,0.0,1.0,0.0,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r1_d0p5_v0,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,0.5,0.0,1.0,0.5,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r1_d0p5_v0p5,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,0.5,0.0,1.0,0.75,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r1_d0p5_v0p75,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,0.5,0.0,1.0,1.0,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r1_d0p5_v1,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,1.0,0.0,1.0,0.0,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r1_d1_v0,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,1.0,0.0,1.0,0.5,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r1_d1_v0p5,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,1.0,0.0,1.0,0.75,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r1_d1_v0p75,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,1.0,0.0,1.0,1.0,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r1_d1_v1,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,2.0,0.0,1.0,0.0,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r1_d2_v0,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,2.0,0.0,1.0,0.5,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r1_d2_v0p5,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,2.0,0.0,1.0,0.75,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r1_d2_v0p75,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,2.0,0.0,1.0,1.0,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r1_d2_v1,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,0.0,0.0,1.5,0.0,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r1p5_d0_v0,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,0.0,0.0,1.5,0.5,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r1p5_d0_v0p5,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,0.0,0.0,1.5,0.75,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r1p5_d0_v0p75,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,0.0,0.0,1.5,1.0,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r1p5_d0_v1,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.0,0.5,4,0.940478,8,600,0.5,0.0,1.5,0.0,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,crossfit_regret_gate_m0_r1p5_d0p5_v0,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
