row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,route_regret_mean,route_regret_negative_ratio,route_regret_loss_weight,route_regret_compute_cost,route_regret_threshold,route_regret_threshold_policy,route_regret_selection_metric,route_regret_selection_score,seed_count
seed,wpu-cws-indexed-mechanism-factorized,11,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.85,0.5,0.051019,0.971712,0.582706,0.465357,4.5,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,11,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.4,0.4,0.12772,1.039084,0.634811,0.289724,4.5,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.4,0.6,0.089675,1.035866,0.62803,0.175769,4.5,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,11,nominal+high_force+edge_shift+catch_heavy+no_catch,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.9,0.9,0.049117,0.961549,0.573537,0.511176,4.9,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,11,nominal+high_force+edge_shift+catch_heavy+no_catch,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.6,0.55,0.101949,0.984466,0.596065,0.251919,4.05,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.35,0.5,0.258945,1.055822,0.647208,0.379789,4.5,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.25,0.65,0.075214,1.099341,0.66921,0.13652,4.9,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,13,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.9,0.6,0.06162,0.985879,0.590369,0.525501,4.6,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,13,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.65,0.5,0.106601,1.037781,0.62492,0.279967,4.6,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,13,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.45,0.65,0.08405,1.127859,0.68342,0.076115,4.6,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,13,nominal+high_force+edge_shift+catch_heavy+no_catch,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.9,0.9,0.059415,0.957499,0.570881,0.514928,4.9,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,13,nominal+high_force+edge_shift+catch_heavy+no_catch,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.8,0.6,0.11721,1.059014,0.639904,0.451699,4.05,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,13,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.4,0.45,0.214733,1.170773,0.711146,0.032626,4.6,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
