row_type,shift_ece_threshold,prior_gap_threshold,eval_mechanism,base_wpu_ece,base_majority_minus_wpu,selected_policy,base_wpu_accuracy,policy_wpu_accuracy,wpu_accuracy_change,base_wpu_minus_baseline,policy_wpu_minus_baseline,wpu_margin_change,base_wpu_ece_metric,policy_wpu_ece,wpu_ece_change,policy_wpu_brier,wpu_brier_change,policy_wpu_win,shifted_wpu_win_rate,mean_shifted_accuracy_change,mean_shifted_margin_change,mean_shifted_ece_change,mean_shifted_brier_change,nominal_false_adaptation,selected_prior_count,fewshot_count,base_count,detector_score,decisions
decision,0.12,0.2,edge_shift,0.212969,-0.011905,fewshot_adaptation,0.527778,0.642857,0.115079,-0.04365,0.031746,0.075396,0.212969,0.189179,-0.02379,0.542392,-0.065298,True,,,,,,,,,,,
decision,0.12,0.2,high_force,0.31382,-0.007937,fewshot_adaptation,0.43254,0.56746,0.13492,-0.027778,0.103174,0.130952,0.31382,0.180673,-0.133147,0.610481,-0.125624,True,,,,,,,,,,,
decision,0.12,0.2,nominal,0.118385,0.023809,base,0.444445,0.444445,0.0,-0.055555,-0.055555,0.0,0.118385,0.118385,0.0,0.628308,0.0,False,,,,,,,,,,,
summary,0.12,0.3,,,,,,,,,,,,,,,,,1.0,0.198412,0.058201,-0.099347,-0.155443,0,1,2,0,1.083037,catch_heavy=selected_prior; edge_shift=fewshot_adaptation; high_force=fewshot_adaptation; nominal=base
decision,0.12,0.3,catch_heavy,0.264469,0.345238,selected_prior,0.40873,0.753968,0.345238,0.059524,0.027778,-0.031746,0.264469,0.123364,-0.141105,0.413073,-0.275406,True,,,,,,,,,,,
decision,0.12,0.3,edge_shift,0.212969,-0.011905,fewshot_adaptation,0.527778,0.642857,0.115079,-0.04365,0.031746,0.075396,0.212969,0.189179,-0.02379,0.542392,-0.065298,True,,,,,,,,,,,
decision,0.12,0.3,high_force,0.31382,-0.007937,fewshot_adaptation,0.43254,0.56746,0.13492,-0.027778,0.103174,0.130952,0.31382,0.180673,-0.133147,0.610481,-0.125624,True,,,,,,,,,,,
decision,0.12,0.3,nominal,0.118385,0.023809,base,0.444445,0.444445,0.0,-0.055555,-0.055555,0.0,0.118385,0.118385,0.0,0.628308,0.0,False,,,,,,,,,,,
summary,0.15,0.0,,,,,,,,,,,,,,,,,1.0,0.198412,0.058201,-0.099347,-0.155443,0,1,2,0,1.083037,catch_heavy=selected_prior; edge_shift=fewshot_adaptation; high_force=fewshot_adaptation; nominal=base
decision,0.15,0.0,catch_heavy,0.264469,0.345238,selected_prior,0.40873,0.753968,0.345238,0.059524,0.027778,-0.031746,0.264469,0.123364,-0.141105,0.413073,-0.275406,True,,,,,,,,,,,
decision,0.15,0.0,edge_shift,0.212969,-0.011905,fewshot_adaptation,0.527778,0.642857,0.115079,-0.04365,0.031746,0.075396,0.212969,0.189179,-0.02379,0.542392,-0.065298,True,,,,,,,,,,,
decision,0.15,0.0,high_force,0.31382,-0.007937,fewshot_adaptation,0.43254,0.56746,0.13492,-0.027778,0.103174,0.130952,0.31382,0.180673,-0.133147,0.610481,-0.125624,True,,,,,,,,,,,
decision,0.15,0.0,nominal,0.118385,0.023809,base,0.444445,0.444445,0.0,-0.055555,-0.055555,0.0,0.118385,0.118385,0.0,0.628308,0.0,False,,,,,,,,,,,
summary,0.15,0.05,,,,,,,,,,,,,,,,,1.0,0.198412,0.058201,-0.099347,-0.155443,0,1,2,0,1.083037,catch_heavy=selected_prior; edge_shift=fewshot_adaptation; high_force=fewshot_adaptation; nominal=base
decision,0.15,0.05,catch_heavy,0.264469,0.345238,selected_prior,0.40873,0.753968,0.345238,0.059524,0.027778,-0.031746,0.264469,0.123364,-0.141105,0.413073,-0.275406,True,,,,,,,,,,,
decision,0.15,0.05,edge_shift,0.212969,-0.011905,fewshot_adaptation,0.527778,0.642857,0.115079,-0.04365,0.031746,0.075396,0.212969,0.189179,-0.02379,0.542392,-0.065298,True,,,,,,,,,,,
decision,0.15,0.05,high_force,0.31382,-0.007937,fewshot_adaptation,0.43254,0.56746,0.13492,-0.027778,0.103174,0.130952,0.31382,0.180673,-0.133147,0.610481,-0.125624,True,,,,,,,,,,,
decision,0.15,0.05,nominal,0.118385,0.023809,base,0.444445,0.444445,0.0,-0.055555,-0.055555,0.0,0.118385,0.118385,0.0,0.628308,0.0,False,,,,,,,,,,,
summary,0.15,0.1,,,,,,,,,,,,,,,,,1.0,0.198412,0.058201,-0.099347,-0.155443,0,1,2,0,1.083037,catch_heavy=selected_prior; edge_shift=fewshot_adaptation; high_force=fewshot_adaptation; nominal=base
decision,0.15,0.1,catch_heavy,0.264469,0.345238,selected_prior,0.40873,0.753968,0.345238,0.059524,0.027778,-0.031746,0.264469,0.123364,-0.141105,0.413073,-0.275406,True,,,,,,,,,,,
decision,0.15,0.1,edge_shift,0.212969,-0.011905,fewshot_adaptation,0.527778,0.642857,0.115079,-0.04365,0.031746,0.075396,0.212969,0.189179,-0.02379,0.542392,-0.065298,True,,,,,,,,,,,
decision,0.15,0.1,high_force,0.31382,-0.007937,fewshot_adaptation,0.43254,0.56746,0.13492,-0.027778,0.103174,0.130952,0.31382,0.180673,-0.133147,0.610481,-0.125624,True,,,,,,,,,,,
decision,0.15,0.1,nominal,0.118385,0.023809,base,0.444445,0.444445,0.0,-0.055555,-0.055555,0.0,0.118385,0.118385,0.0,0.628308,0.0,False,,,,,,,,,,,
summary,0.15,0.2,,,,,,,,,,,,,,,,,1.0,0.198412,0.058201,-0.099347,-0.155443,0,1,2,0,1.083037,catch_heavy=selected_prior; edge_shift=fewshot_adaptation; high_force=fewshot_adaptation; nominal=base
decision,0.15,0.2,catch_heavy,0.264469,0.345238,selected_prior,0.40873,0.753968,0.345238,0.059524,0.027778,-0.031746,0.264469,0.123364,-0.141105,0.413073,-0.275406,True,,,,,,,,,,,
decision,0.15,0.2,edge_shift,0.212969,-0.011905,fewshot_adaptation,0.527778,0.642857,0.115079,-0.04365,0.031746,0.075396,0.212969,0.189179,-0.02379,0.542392,-0.065298,True,,,,,,,,,,,
decision,0.15,0.2,high_force,0.31382,-0.007937,fewshot_adaptation,0.43254,0.56746,0.13492,-0.027778,0.103174,0.130952,0.31382,0.180673,-0.133147,0.610481,-0.125624,True,,,,,,,,,,,
decision,0.15,0.2,nominal,0.118385,0.023809,base,0.444445,0.444445,0.0,-0.055555,-0.055555,0.0,0.118385,0.118385,0.0,0.628308,0.0,False,,,,,,,,,,,
summary,0.15,0.3,,,,,,,,,,,,,,,,,1.0,0.198412,0.058201,-0.099347,-0.155443,0,1,2,0,1.083037,catch_heavy=selected_prior; edge_shift=fewshot_adaptation; high_force=fewshot_adaptation; nominal=base
decision,0.15,0.3,catch_heavy,0.264469,0.345238,selected_prior,0.40873,0.753968,0.345238,0.059524,0.027778,-0.031746,0.264469,0.123364,-0.141105,0.413073,-0.275406,True,,,,,,,,,,,
decision,0.15,0.3,edge_shift,0.212969,-0.011905,fewshot_adaptation,0.527778,0.642857,0.115079,-0.04365,0.031746,0.075396,0.212969,0.189179,-0.02379,0.542392,-0.065298,True,,,,,,,,,,,
decision,0.15,0.3,high_force,0.31382,-0.007937,fewshot_adaptation,0.43254,0.56746,0.13492,-0.027778,0.103174,0.130952,0.31382,0.180673,-0.133147,0.610481,-0.125624,True,,,,,,,,,,,
decision,0.15,0.3,nominal,0.118385,0.023809,base,0.444445,0.444445,0.0,-0.055555,-0.055555,0.0,0.118385,0.118385,0.0,0.628308,0.0,False,,,,,,,,,,,
summary,0.18,0.0,,,,,,,,,,,,,,,,,1.0,0.198412,0.058201,-0.099347,-0.155443,0,1,2,0,1.083037,catch_heavy=selected_prior; edge_shift=fewshot_adaptation; high_force=fewshot_adaptation; nominal=base
decision,0.18,0.0,catch_heavy,0.264469,0.345238,selected_prior,0.40873,0.753968,0.345238,0.059524,0.027778,-0.031746,0.264469,0.123364,-0.141105,0.413073,-0.275406,True,,,,,,,,,,,
decision,0.18,0.0,edge_shift,0.212969,-0.011905,fewshot_adaptation,0.527778,0.642857,0.115079,-0.04365,0.031746,0.075396,0.212969,0.189179,-0.02379,0.542392,-0.065298,True,,,,,,,,,,,
decision,0.18,0.0,high_force,0.31382,-0.007937,fewshot_adaptation,0.43254,0.56746,0.13492,-0.027778,0.103174,0.130952,0.31382,0.180673,-0.133147,0.610481,-0.125624,True,,,,,,,,,,,
decision,0.18,0.0,nominal,0.118385,0.023809,base,0.444445,0.444445,0.0,-0.055555,-0.055555,0.0,0.118385,0.118385,0.0,0.628308,0.0,False,,,,,,,,,,,
summary,0.18,0.05,,,,,,,,,,,,,,,,,1.0,0.198412,0.058201,-0.099347,-0.155443,0,1,2,0,1.083037,catch_heavy=selected_prior; edge_shift=fewshot_adaptation; high_force=fewshot_adaptation; nominal=base
decision,0.18,0.05,catch_heavy,0.264469,0.345238,selected_prior,0.40873,0.753968,0.345238,0.059524,0.027778,-0.031746,0.264469,0.123364,-0.141105,0.413073,-0.275406,True,,,,,,,,,,,
decision,0.18,0.05,edge_shift,0.212969,-0.011905,fewshot_adaptation,0.527778,0.642857,0.115079,-0.04365,0.031746,0.075396,0.212969,0.189179,-0.02379,0.542392,-0.065298,True,,,,,,,,,,,
decision,0.18,0.05,high_force,0.31382,-0.007937,fewshot_adaptation,0.43254,0.56746,0.13492,-0.027778,0.103174,0.130952,0.31382,0.180673,-0.133147,0.610481,-0.125624,True,,,,,,,,,,,
decision,0.18,0.05,nominal,0.118385,0.023809,base,0.444445,0.444445,0.0,-0.055555,-0.055555,0.0,0.118385,0.118385,0.0,0.628308,0.0,False,,,,,,,,,,,
summary,0.18,0.1,,,,,,,,,,,,,,,,,1.0,0.198412,0.058201,-0.099347,-0.155443,0,1,2,0,1.083037,catch_heavy=selected_prior; edge_shift=fewshot_adaptation; high_force=fewshot_adaptation; nominal=base
decision,0.18,0.1,catch_heavy,0.264469,0.345238,selected_prior,0.40873,0.753968,0.345238,0.059524,0.027778,-0.031746,0.264469,0.123364,-0.141105,0.413073,-0.275406,True,,,,,,,,,,,
decision,0.18,0.1,edge_shift,0.212969,-0.011905,fewshot_adaptation,0.527778,0.642857,0.115079,-0.04365,0.031746,0.075396,0.212969,0.189179,-0.02379,0.542392,-0.065298,True,,,,,,,,,,,
decision,0.18,0.1,high_force,0.31382,-0.007937,fewshot_adaptation,0.43254,0.56746,0.13492,-0.027778,0.103174,0.130952,0.31382,0.180673,-0.133147,0.610481,-0.125624,True,,,,,,,,,,,
decision,0.18,0.1,nominal,0.118385,0.023809,base,0.444445,0.444445,0.0,-0.055555,-0.055555,0.0,0.118385,0.118385,0.0,0.628308,0.0,False,,,,,,,,,,,
summary,0.18,0.2,,,,,,,,,,,,,,,,,1.0,0.198412,0.058201,-0.099347,-0.155443,0,1,2,0,1.083037,catch_heavy=selected_prior; edge_shift=fewshot_adaptation; high_force=fewshot_adaptation; nominal=base
decision,0.18,0.2,catch_heavy,0.264469,0.345238,selected_prior,0.40873,0.753968,0.345238,0.059524,0.027778,-0.031746,0.264469,0.123364,-0.141105,0.413073,-0.275406,True,,,,,,,,,,,
decision,0.18,0.2,edge_shift,0.212969,-0.011905,fewshot_adaptation,0.527778,0.642857,0.115079,-0.04365,0.031746,0.075396,0.212969,0.189179,-0.02379,0.542392,-0.065298,True,,,,,,,,,,,
decision,0.18,0.2,high_force,0.31382,-0.007937,fewshot_adaptation,0.43254,0.56746,0.13492,-0.027778,0.103174,0.130952,0.31382,0.180673,-0.133147,0.610481,-0.125624,True,,,,,,,,,,,
decision,0.18,0.2,nominal,0.118385,0.023809,base,0.444445,0.444445,0.0,-0.055555,-0.055555,0.0,0.118385,0.118385,0.0,0.628308,0.0,False,,,,,,,,,,,
summary,0.18,0.3,,,,,,,,,,,,,,,,,1.0,0.198412,0.058201,-0.099347,-0.155443,0,1,2,0,1.083037,catch_heavy=selected_prior; edge_shift=fewshot_adaptation; high_force=fewshot_adaptation; nominal=base
decision,0.18,0.3,catch_heavy,0.264469,0.345238,selected_prior,0.40873,0.753968,0.345238,0.059524,0.027778,-0.031746,0.264469,0.123364,-0.141105,0.413073,-0.275406,True,,,,,,,,,,,
decision,0.18,0.3,edge_shift,0.212969,-0.011905,fewshot_adaptation,0.527778,0.642857,0.115079,-0.04365,0.031746,0.075396,0.212969,0.189179,-0.02379,0.542392,-0.065298,True,,,,,,,,,,,
decision,0.18,0.3,high_force,0.31382,-0.007937,fewshot_adaptation,0.43254,0.56746,0.13492,-0.027778,0.103174,0.130952,0.31382,0.180673,-0.133147,0.610481,-0.125624,True,,,,,,,,,,,
decision,0.18,0.3,nominal,0.118385,0.023809,base,0.444445,0.444445,0.0,-0.055555,-0.055555,0.0,0.118385,0.118385,0.0,0.628308,0.0,False,,,,,,,,,,,
summary,0.2,0.0,,,,,,,,,,,,,,,,,1.0,0.198412,0.058201,-0.099347,-0.155443,0,1,2,0,1.083037,catch_heavy=selected_prior; edge_shift=fewshot_adaptation; high_force=fewshot_adaptation; nominal=base
decision,0.2,0.0,catch_heavy,0.264469,0.345238,selected_prior,0.40873,0.753968,0.345238,0.059524,0.027778,-0.031746,0.264469,0.123364,-0.141105,0.413073,-0.275406,True,,,,,,,,,,,
decision,0.2,0.0,edge_shift,0.212969,-0.011905,fewshot_adaptation,0.527778,0.642857,0.115079,-0.04365,0.031746,0.075396,0.212969,0.189179,-0.02379,0.542392,-0.065298,True,,,,,,,,,,,
decision,0.2,0.0,high_force,0.31382,-0.007937,fewshot_adaptation,0.43254,0.56746,0.13492,-0.027778,0.103174,0.130952,0.31382,0.180673,-0.133147,0.610481,-0.125624,True,,,,,,,,,,,
decision,0.2,0.0,nominal,0.118385,0.023809,base,0.444445,0.444445,0.0,-0.055555,-0.055555,0.0,0.118385,0.118385,0.0,0.628308,0.0,False,,,,,,,,,,,
summary,0.2,0.05,,,,,,,,,,,,,,,,,1.0,0.198412,0.058201,-0.099347,-0.155443,0,1,2,0,1.083037,catch_heavy=selected_prior; edge_shift=fewshot_adaptation; high_force=fewshot_adaptation; nominal=base
decision,0.2,0.05,catch_heavy,0.264469,0.345238,selected_prior,0.40873,0.753968,0.345238,0.059524,0.027778,-0.031746,0.264469,0.123364,-0.141105,0.413073,-0.275406,True,,,,,,,,,,,
decision,0.2,0.05,edge_shift,0.212969,-0.011905,fewshot_adaptation,0.527778,0.642857,0.115079,-0.04365,0.031746,0.075396,0.212969,0.189179,-0.02379,0.542392,-0.065298,True,,,,,,,,,,,
decision,0.2,0.05,high_force,0.31382,-0.007937,fewshot_adaptation,0.43254,0.56746,0.13492,-0.027778,0.103174,0.130952,0.31382,0.180673,-0.133147,0.610481,-0.125624,True,,,,,,,,,,,
decision,0.2,0.05,nominal,0.118385,0.023809,base,0.444445,0.444445,0.0,-0.055555,-0.055555,0.0,0.118385,0.118385,0.0,0.628308,0.0,False,,,,,,,,,,,
summary,0.2,0.1,,,,,,,,,,,,,,,,,1.0,0.198412,0.058201,-0.099347,-0.155443,0,1,2,0,1.083037,catch_heavy=selected_prior; edge_shift=fewshot_adaptation; high_force=fewshot_adaptation; nominal=base
decision,0.2,0.1,catch_heavy,0.264469,0.345238,selected_prior,0.40873,0.753968,0.345238,0.059524,0.027778,-0.031746,0.264469,0.123364,-0.141105,0.413073,-0.275406,True,,,,,,,,,,,
decision,0.2,0.1,edge_shift,0.212969,-0.011905,fewshot_adaptation,0.527778,0.642857,0.115079,-0.04365,0.031746,0.075396,0.212969,0.189179,-0.02379,0.542392,-0.065298,True,,,,,,,,,,,
decision,0.2,0.1,high_force,0.31382,-0.007937,fewshot_adaptation,0.43254,0.56746,0.13492,-0.027778,0.103174,0.130952,0.31382,0.180673,-0.133147,0.610481,-0.125624,True,,,,,,,,,,,
decision,0.2,0.1,nominal,0.118385,0.023809,base,0.444445,0.444445,0.0,-0.055555,-0.055555,0.0,0.118385,0.118385,0.0,0.628308,0.0,False,,,,,,,,,,,
summary,0.2,0.2,,,,,,,,,,,,,,,,,1.0,0.198412,0.058201,-0.099347,-0.155443,0,1,2,0,1.083037,catch_heavy=selected_prior; edge_shift=fewshot_adaptation; high_force=fewshot_adaptation; nominal=base
decision,0.2,0.2,catch_heavy,0.264469,0.345238,selected_prior,0.40873,0.753968,0.345238,0.059524,0.027778,-0.031746,0.264469,0.123364,-0.141105,0.413073,-0.275406,True,,,,,,,,,,,
decision,0.2,0.2,edge_shift,0.212969,-0.011905,fewshot_adaptation,0.527778,0.642857,0.115079,-0.04365,0.031746,0.075396,0.212969,0.189179,-0.02379,0.542392,-0.065298,True,,,,,,,,,,,
decision,0.2,0.2,high_force,0.31382,-0.007937,fewshot_adaptation,0.43254,0.56746,0.13492,-0.027778,0.103174,0.130952,0.31382,0.180673,-0.133147,0.610481,-0.125624,True,,,,,,,,,,,
decision,0.2,0.2,nominal,0.118385,0.023809,base,0.444445,0.444445,0.0,-0.055555,-0.055555,0.0,0.118385,0.118385,0.0,0.628308,0.0,False,,,,,,,,,,,
summary,0.2,0.3,,,,,,,,,,,,,,,,,1.0,0.198412,0.058201,-0.099347,-0.155443,0,1,2,0,1.083037,catch_heavy=selected_prior; edge_shift=fewshot_adaptation; high_force=fewshot_adaptation; nominal=base
decision,0.2,0.3,catch_heavy,0.264469,0.345238,selected_prior,0.40873,0.753968,0.345238,0.059524,0.027778,-0.031746,0.264469,0.123364,-0.141105,0.413073,-0.275406,True,,,,,,,,,,,
decision,0.2,0.3,edge_shift,0.212969,-0.011905,fewshot_adaptation,0.527778,0.642857,0.115079,-0.04365,0.031746,0.075396,0.212969,0.189179,-0.02379,0.542392,-0.065298,True,,,,,,,,,,,
decision,0.2,0.3,high_force,0.31382,-0.007937,fewshot_adaptation,0.43254,0.56746,0.13492,-0.027778,0.103174,0.130952,0.31382,0.180673,-0.133147,0.610481,-0.125624,True,,,,,,,,,,,
decision,0.2,0.3,nominal,0.118385,0.023809,base,0.444445,0.444445,0.0,-0.055555,-0.055555,0.0,0.118385,0.118385,0.0,0.628308,0.0,False,,,,,,,,,,,
