accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,deployment_min_accept_prob,deployment_prob_margin,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,imitation_weight,interaction_mode,learned_probability_mean,loss,no_harm_weight,oracle_match_rate,policy,propagation_steps,regret_retriever_steps,retriever_steps,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_probability_mean,selected_proximity_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,selector_steps,temperature,test_samples,total_objects_n,train_end_to_end_selector_accept_rate,train_end_to_end_selector_loss,train_seed_count,train_static_learned_loss,utility_weight,validation_samples_per_seed
0.977778,0.511111,4,0.940478,8,600,0.4,0.02,0.027413,4,0.388889,11,0.15,pairwise,0.000472,0.967892,1.5,0.133333,end_to_end_selector_pg0p02_pmin0p4,40,600,400,11,0.011111,0.011111,0.055556,0.077778,0.055556,0.233333,0.022222,0.022222,0.333333,0.322222,0.088889,0.022222,0.842709,0.155556,,,,,,900,0.7,90,2048,0.993056,0.950386,4,0.981228,1.0,180
0.922222,0.511111,4,0.940478,8,600,0.5,0.02,0.027917,4,0.366667,11,0.15,pairwise,0.000472,0.968396,1.5,0.122222,end_to_end_selector_pg0p02_pmin0p5,40,600,400,11,0.011111,0.011111,0.055556,0.077778,0.055556,0.211111,0.022222,0.022222,0.311111,0.322222,0.066667,0.077778,0.842709,0.144444,,,,,,900,0.7,90,2048,0.993056,0.950386,4,0.981228,1.0,180
0.877778,0.511111,4,0.940478,8,600,0.6,0.02,0.028114,4,0.366667,11,0.15,pairwise,0.000472,0.968593,1.5,0.111111,end_to_end_selector_pg0p02_pmin0p6,40,600,400,11,0.011111,0.011111,0.044444,0.066667,0.044444,0.211111,0.022222,0.022222,0.3,0.311111,0.055556,0.122222,0.842709,0.144444,,,,,,900,0.7,90,2048,0.993056,0.950386,4,0.981228,1.0,180
1.0,0.511111,4,0.940478,8,600,0.0,0.05,0.027476,4,0.4,11,0.15,pairwise,0.000472,0.967954,1.5,0.133333,end_to_end_selector_pg0p05_pmin0,40,600,400,11,0.022222,0.011111,0.055556,0.088889,0.055556,0.233333,0.033333,0.022222,0.344444,0.322222,0.088889,0.0,0.842709,0.155556,,,,,,900,0.7,90,2048,0.993056,0.950386,4,0.981228,1.0,180
0.988889,0.511111,4,0.940478,8,600,0.3,0.05,0.027476,4,0.4,11,0.15,pairwise,0.000472,0.967954,1.5,0.133333,end_to_end_selector_pg0p05_pmin0p3,40,600,400,11,0.022222,0.011111,0.055556,0.088889,0.055556,0.233333,0.022222,0.022222,0.333333,0.322222,0.088889,0.011111,0.842709,0.155556,,,,,,900,0.7,90,2048,0.993056,0.950386,4,0.981228,1.0,180
0.977778,0.511111,4,0.940478,8,600,0.4,0.05,0.027413,4,0.388889,11,0.15,pairwise,0.000472,0.967892,1.5,0.133333,end_to_end_selector_pg0p05_pmin0p4,40,600,400,11,0.011111,0.011111,0.055556,0.077778,0.055556,0.233333,0.022222,0.022222,0.333333,0.322222,0.088889,0.022222,0.842709,0.155556,,,,,,900,0.7,90,2048,0.993056,0.950386,4,0.981228,1.0,180
0.922222,0.511111,4,0.940478,8,600,0.5,0.05,0.027917,4,0.366667,11,0.15,pairwise,0.000472,0.968396,1.5,0.122222,end_to_end_selector_pg0p05_pmin0p5,40,600,400,11,0.011111,0.011111,0.055556,0.077778,0.055556,0.211111,0.022222,0.022222,0.311111,0.322222,0.066667,0.077778,0.842709,0.144444,,,,,,900,0.7,90,2048,0.993056,0.950386,4,0.981228,1.0,180
0.877778,0.511111,4,0.940478,8,600,0.6,0.05,0.028114,4,0.366667,11,0.15,pairwise,0.000472,0.968593,1.5,0.111111,end_to_end_selector_pg0p05_pmin0p6,40,600,400,11,0.011111,0.011111,0.044444,0.066667,0.044444,0.211111,0.022222,0.022222,0.3,0.311111,0.055556,0.122222,0.842709,0.144444,,,,,,900,0.7,90,2048,0.993056,0.950386,4,0.981228,1.0,180
1.0,0.511111,4,0.940478,8,600,0.0,0.1,0.027476,4,0.4,11,0.15,pairwise,0.000472,0.967954,1.5,0.133333,end_to_end_selector_pg0p1_pmin0,40,600,400,11,0.022222,0.011111,0.055556,0.088889,0.055556,0.233333,0.033333,0.022222,0.344444,0.322222,0.088889,0.0,0.842709,0.155556,,,,,,900,0.7,90,2048,0.993056,0.950386,4,0.981228,1.0,180
0.988889,0.511111,4,0.940478,8,600,0.3,0.1,0.027476,4,0.4,11,0.15,pairwise,0.000472,0.967954,1.5,0.133333,end_to_end_selector_pg0p1_pmin0p3,40,600,400,11,0.022222,0.011111,0.055556,0.088889,0.055556,0.233333,0.022222,0.022222,0.333333,0.322222,0.088889,0.011111,0.842709,0.155556,,,,,,900,0.7,90,2048,0.993056,0.950386,4,0.981228,1.0,180
0.977778,0.511111,4,0.940478,8,600,0.4,0.1,0.027413,4,0.388889,11,0.15,pairwise,0.000472,0.967892,1.5,0.133333,end_to_end_selector_pg0p1_pmin0p4,40,600,400,11,0.011111,0.011111,0.055556,0.077778,0.055556,0.233333,0.022222,0.022222,0.333333,0.322222,0.088889,0.022222,0.842709,0.155556,,,,,,900,0.7,90,2048,0.993056,0.950386,4,0.981228,1.0,180
0.922222,0.511111,4,0.940478,8,600,0.5,0.1,0.027917,4,0.366667,11,0.15,pairwise,0.000472,0.968396,1.5,0.122222,end_to_end_selector_pg0p1_pmin0p5,40,600,400,11,0.011111,0.011111,0.055556,0.077778,0.055556,0.211111,0.022222,0.022222,0.311111,0.322222,0.066667,0.077778,0.842709,0.144444,,,,,,900,0.7,90,2048,0.993056,0.950386,4,0.981228,1.0,180
0.877778,0.511111,4,0.940478,8,600,0.6,0.1,0.028114,4,0.366667,11,0.15,pairwise,0.000472,0.968593,1.5,0.111111,end_to_end_selector_pg0p1_pmin0p6,40,600,400,11,0.011111,0.011111,0.044444,0.066667,0.044444,0.211111,0.022222,0.022222,0.3,0.311111,0.055556,0.122222,0.842709,0.144444,,,,,,900,0.7,90,2048,0.993056,0.950386,4,0.981228,1.0,180
1.0,0.511111,4,0.940478,8,600,0.0,0.2,0.027476,4,0.4,11,0.15,pairwise,0.000472,0.967954,1.5,0.133333,end_to_end_selector_pg0p2_pmin0,40,600,400,11,0.022222,0.011111,0.055556,0.088889,0.055556,0.233333,0.033333,0.022222,0.344444,0.322222,0.088889,0.0,0.842709,0.155556,,,,,,900,0.7,90,2048,0.993056,0.950386,4,0.981228,1.0,180
0.988889,0.511111,4,0.940478,8,600,0.3,0.2,0.027476,4,0.4,11,0.15,pairwise,0.000472,0.967954,1.5,0.133333,end_to_end_selector_pg0p2_pmin0p3,40,600,400,11,0.022222,0.011111,0.055556,0.088889,0.055556,0.233333,0.022222,0.022222,0.333333,0.322222,0.088889,0.011111,0.842709,0.155556,,,,,,900,0.7,90,2048,0.993056,0.950386,4,0.981228,1.0,180
0.977778,0.511111,4,0.940478,8,600,0.4,0.2,0.027413,4,0.388889,11,0.15,pairwise,0.000472,0.967892,1.5,0.133333,end_to_end_selector_pg0p2_pmin0p4,40,600,400,11,0.011111,0.011111,0.055556,0.077778,0.055556,0.233333,0.022222,0.022222,0.333333,0.322222,0.088889,0.022222,0.842709,0.155556,,,,,,900,0.7,90,2048,0.993056,0.950386,4,0.981228,1.0,180
0.922222,0.511111,4,0.940478,8,600,0.5,0.2,0.027917,4,0.366667,11,0.15,pairwise,0.000472,0.968396,1.5,0.122222,end_to_end_selector_pg0p2_pmin0p5,40,600,400,11,0.011111,0.011111,0.055556,0.077778,0.055556,0.211111,0.022222,0.022222,0.311111,0.322222,0.066667,0.077778,0.842709,0.144444,,,,,,900,0.7,90,2048,0.993056,0.950386,4,0.981228,1.0,180
0.877778,0.511111,4,0.940478,8,600,0.6,0.2,0.028114,4,0.366667,11,0.15,pairwise,0.000472,0.968593,1.5,0.111111,end_to_end_selector_pg0p2_pmin0p6,40,600,400,11,0.011111,0.011111,0.044444,0.066667,0.044444,0.211111,0.022222,0.022222,0.3,0.311111,0.055556,0.122222,0.842709,0.144444,,,,,,900,0.7,90,2048,0.993056,0.950386,4,0.981228,1.0,180
,0.455556,4,0.964414,8,600,,,0.03194,4,,13,0.15,pairwise,,0.996354,1.5,0.0,static_learned_interaction,40,600,400,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,,,,,,900,0.7,90,2048,0.991667,0.950877,4,0.980309,1.0,180
1.0,0.477778,4,0.964414,8,600,0.0,0.0,0.025794,4,0.322222,13,0.15,pairwise,0.006993,0.990209,1.5,0.188889,end_to_end_candidate_selector,40,600,400,13,0.033333,0.0,0.011111,0.044444,0.033333,0.2,0.077778,0.0,0.311111,0.411111,0.088889,0.0,0.8108,0.144444,,,,,,900,0.7,90,2048,0.991667,0.950877,4,0.980309,1.0,180
0.988889,0.477778,4,0.964414,8,600,0.4,0.0,0.025423,4,0.311111,13,0.15,pairwise,0.006993,0.989838,1.5,0.188889,train_selected_end_to_end_candidate_selector,40,600,400,13,0.033333,0.0,0.011111,0.044444,0.033333,0.188889,0.077778,0.0,0.3,0.411111,0.088889,0.011111,0.8108,0.144444,0.986111,0.850913,0.065278,0.950857,end_to_end_selector_pg0_pmin0p4,900,0.7,90,2048,0.991667,0.950877,4,0.980309,1.0,180
,0.511111,4,0.964414,8,600,,,0.0,4,,13,0.15,pairwise,,0.964414,1.5,1.0,generated_plus_composition_oracle,40,600,400,13,0.277778,0.044444,0.011111,0.333333,0.033333,0.233333,0.0,0.011111,0.277778,0.3,0.0,0.0,,0.088889,,,,,,900,0.7,90,2048,0.991667,0.950877,4,0.980309,1.0,180
1.0,0.477778,4,0.964414,8,600,0.0,0.0,0.025794,4,0.322222,13,0.15,pairwise,0.006993,0.990209,1.5,0.188889,end_to_end_selector_pg0_pmin0,40,600,400,13,0.033333,0.0,0.011111,0.044444,0.033333,0.2,0.077778,0.0,0.311111,0.411111,0.088889,0.0,0.8108,0.144444,,,,,,900,0.7,90,2048,0.991667,0.950877,4,0.980309,1.0,180
0.988889,0.477778,4,0.964414,8,600,0.3,0.0,0.025423,4,0.311111,13,0.15,pairwise,0.006993,0.989838,1.5,0.188889,end_to_end_selector_pg0_pmin0p3,40,600,400,13,0.033333,0.0,0.011111,0.044444,0.033333,0.188889,0.077778,0.0,0.3,0.411111,0.088889,0.011111,0.8108,0.144444,,,,,,900,0.7,90,2048,0.991667,0.950877,4,0.980309,1.0,180
0.988889,0.477778,4,0.964414,8,600,0.4,0.0,0.025423,4,0.311111,13,0.15,pairwise,0.006993,0.989838,1.5,0.188889,end_to_end_selector_pg0_pmin0p4,40,600,400,13,0.033333,0.0,0.011111,0.044444,0.033333,0.188889,0.077778,0.0,0.3,0.411111,0.088889,0.011111,0.8108,0.144444,,,,,,900,0.7,90,2048,0.991667,0.950877,4,0.980309,1.0,180
0.944444,0.466667,4,0.964414,8,600,0.5,0.0,0.026645,4,0.3,13,0.15,pairwise,0.006993,0.99106,1.5,0.188889,end_to_end_selector_pg0_pmin0p5,40,600,400,13,0.022222,0.0,0.011111,0.033333,0.033333,0.177778,0.066667,0.0,0.277778,0.4,0.088889,0.055556,0.8108,0.144444,,,,,,900,0.7,90,2048,0.991667,0.950877,4,0.980309,1.0,180
0.811111,0.455556,4,0.964414,8,600,0.6,0.0,0.025593,4,0.255556,13,0.15,pairwise,0.006993,0.990008,1.5,0.155556,end_to_end_selector_pg0_pmin0p6,40,600,400,13,0.011111,0.0,0.011111,0.022222,0.033333,0.155556,0.033333,0.0,0.222222,0.355556,0.066667,0.188889,0.8108,0.144444,,,,,,900,0.7,90,2048,0.991667,0.950877,4,0.980309,1.0,180
1.0,0.477778,4,0.964414,8,600,0.0,0.02,0.025794,4,0.322222,13,0.15,pairwise,0.006993,0.990209,1.5,0.188889,end_to_end_selector_pg0p02_pmin0,40,600,400,13,0.033333,0.0,0.011111,0.044444,0.033333,0.2,0.077778,0.0,0.311111,0.411111,0.088889,0.0,0.8108,0.144444,,,,,,900,0.7,90,2048,0.991667,0.950877,4,0.980309,1.0,180
0.988889,0.477778,4,0.964414,8,600,0.3,0.02,0.025423,4,0.311111,13,0.15,pairwise,0.006993,0.989838,1.5,0.188889,end_to_end_selector_pg0p02_pmin0p3,40,600,400,13,0.033333,0.0,0.011111,0.044444,0.033333,0.188889,0.077778,0.0,0.3,0.411111,0.088889,0.011111,0.8108,0.144444,,,,,,900,0.7,90,2048,0.991667,0.950877,4,0.980309,1.0,180
0.988889,0.477778,4,0.964414,8,600,0.4,0.02,0.025423,4,0.311111,13,0.15,pairwise,0.006993,0.989838,1.5,0.188889,end_to_end_selector_pg0p02_pmin0p4,40,600,400,13,0.033333,0.0,0.011111,0.044444,0.033333,0.188889,0.077778,0.0,0.3,0.411111,0.088889,0.011111,0.8108,0.144444,,,,,,900,0.7,90,2048,0.991667,0.950877,4,0.980309,1.0,180
0.944444,0.466667,4,0.964414,8,600,0.5,0.02,0.026645,4,0.3,13,0.15,pairwise,0.006993,0.99106,1.5,0.188889,end_to_end_selector_pg0p02_pmin0p5,40,600,400,13,0.022222,0.0,0.011111,0.033333,0.033333,0.177778,0.066667,0.0,0.277778,0.4,0.088889,0.055556,0.8108,0.144444,,,,,,900,0.7,90,2048,0.991667,0.950877,4,0.980309,1.0,180
0.811111,0.455556,4,0.964414,8,600,0.6,0.02,0.025593,4,0.255556,13,0.15,pairwise,0.006993,0.990008,1.5,0.155556,end_to_end_selector_pg0p02_pmin0p6,40,600,400,13,0.011111,0.0,0.011111,0.022222,0.033333,0.155556,0.033333,0.0,0.222222,0.355556,0.066667,0.188889,0.8108,0.144444,,,,,,900,0.7,90,2048,0.991667,0.950877,4,0.980309,1.0,180
1.0,0.477778,4,0.964414,8,600,0.0,0.05,0.025794,4,0.322222,13,0.15,pairwise,0.006993,0.990209,1.5,0.188889,end_to_end_selector_pg0p05_pmin0,40,600,400,13,0.033333,0.0,0.011111,0.044444,0.033333,0.2,0.077778,0.0,0.311111,0.411111,0.088889,0.0,0.8108,0.144444,,,,,,900,0.7,90,2048,0.991667,0.950877,4,0.980309,1.0,180
0.988889,0.477778,4,0.964414,8,600,0.3,0.05,0.025423,4,0.311111,13,0.15,pairwise,0.006993,0.989838,1.5,0.188889,end_to_end_selector_pg0p05_pmin0p3,40,600,400,13,0.033333,0.0,0.011111,0.044444,0.033333,0.188889,0.077778,0.0,0.3,0.411111,0.088889,0.011111,0.8108,0.144444,,,,,,900,0.7,90,2048,0.991667,0.950877,4,0.980309,1.0,180
0.988889,0.477778,4,0.964414,8,600,0.4,0.05,0.025423,4,0.311111,13,0.15,pairwise,0.006993,0.989838,1.5,0.188889,end_to_end_selector_pg0p05_pmin0p4,40,600,400,13,0.033333,0.0,0.011111,0.044444,0.033333,0.188889,0.077778,0.0,0.3,0.411111,0.088889,0.011111,0.8108,0.144444,,,,,,900,0.7,90,2048,0.991667,0.950877,4,0.980309,1.0,180
0.944444,0.466667,4,0.964414,8,600,0.5,0.05,0.026645,4,0.3,13,0.15,pairwise,0.006993,0.99106,1.5,0.188889,end_to_end_selector_pg0p05_pmin0p5,40,600,400,13,0.022222,0.0,0.011111,0.033333,0.033333,0.177778,0.066667,0.0,0.277778,0.4,0.088889,0.055556,0.8108,0.144444,,,,,,900,0.7,90,2048,0.991667,0.950877,4,0.980309,1.0,180
