causal_k,compute_cost,expanded_dense_loss,expanded_path_loss,expanded_sparse_loss,expanded_working_set_size,expansion_cost,expansion_path,expansion_ratio,hidden_dim,initial_dense_loss,initial_dense_ratio,initial_working_set_size,interaction_mode,layers,max_expansion_rate,model,oracle_loss,policy,policy_accuracy,policy_delta_vs_sparse,policy_excess_over_oracle,policy_loss,propagation_steps,regret_steps,route_threshold,rule,samples,seed,sparse_loss,status,total_compute_ratio,total_objects_n,validation_samples
8,0.05,1.045595,0.992273,0.992273,32,0.02,sparse,0.0,128,1.024514,0.244444,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.843358,initial_calibrated_regret,0.466667,-0.05316,0.098134,0.941492,40,80,0.074019,none,90,11,0.994652,ok,0.244444,2048,90
8,0.05,1.045595,0.992273,0.992273,32,0.02,sparse,1.0,128,1.024514,0.0,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.843358,always_expand_sparse,0.5,-0.002379,0.148914,0.992273,40,80,0.074019,always,90,11,0.994652,ok,1.0,2048,90
8,0.05,1.045595,1.045595,0.992273,32,0.02,dense,1.0,128,1.024514,0.0,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.858608,always_expand_dense,0.444444,0.050943,0.186986,1.045595,40,80,0.074019,always,90,11,0.994652,ok,1.0,2048,90
8,0.05,1.045595,0.992273,0.992273,32,0.02,sparse,0.088889,128,1.024514,0.233333,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.843358,structured_expansion_gate,0.455556,-0.052111,0.099182,0.94254,40,80,0.074019,sparse_margin:le:0.033657 AND interaction_density:le:0.112255,90,11,0.994652,ok,0.322222,2048,90
8,0.05,1.045595,0.992273,0.992273,32,0.02,sparse,0.0,128,1.024514,0.244444,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.843358,physical_expansion_gate,0.466667,-0.05316,0.098134,0.941492,40,80,0.074019,none,90,11,0.994652,ok,0.244444,2048,90
8,0.05,1.045595,1.045595,0.992273,32,0.02,dense,0.088889,128,1.024514,0.233333,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.858608,structured_dense_expansion_gate,0.466667,-0.051228,0.084816,0.943424,40,80,0.074019,sparse_margin:le:0.033657 AND interaction_density:le:0.112255,90,11,0.994652,ok,0.322222,2048,90
8,0.05,1.045595,1.045595,0.992273,32,0.02,dense,0.0,128,1.024514,0.244444,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.858608,physical_dense_expansion_gate,0.466667,-0.05316,0.082884,0.941492,40,80,0.074019,none,90,11,0.994652,ok,0.244444,2048,90
8,0.05,1.05991,1.0016,1.0016,32,0.02,sparse,0.0,128,1.034307,0.122222,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.93882,initial_calibrated_regret,0.5,-0.009945,0.030449,0.969269,40,80,-0.023936,none,90,13,0.979214,ok,0.122222,2048,90
8,0.05,1.05991,1.0016,1.0016,32,0.02,sparse,1.0,128,1.034307,0.0,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.93882,always_expand_sparse,0.477778,0.022386,0.06278,1.0016,40,80,-0.023936,always,90,13,0.979214,ok,1.0,2048,90
8,0.05,1.05991,1.05991,1.0016,32,0.02,dense,1.0,128,1.034307,0.0,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.94225,always_expand_dense,0.5,0.080696,0.117659,1.05991,40,80,-0.023936,always,90,13,0.979214,ok,1.0,2048,90
8,0.05,1.05991,1.0016,1.0016,32,0.02,sparse,0.0,128,1.034307,0.122222,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.93882,structured_expansion_gate,0.5,-0.009945,0.030449,0.969269,40,80,-0.023936,none,90,13,0.979214,ok,0.122222,2048,90
8,0.05,1.05991,1.0016,1.0016,32,0.02,sparse,0.0,128,1.034307,0.122222,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.93882,physical_expansion_gate,0.5,-0.009945,0.030449,0.969269,40,80,-0.023936,none,90,13,0.979214,ok,0.122222,2048,90
8,0.05,1.05991,1.05991,1.0016,32,0.02,dense,0.0,128,1.034307,0.122222,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.94225,structured_dense_expansion_gate,0.5,-0.009945,0.027018,0.969269,40,80,-0.023936,none,90,13,0.979214,ok,0.122222,2048,90
8,0.05,1.05991,1.05991,1.0016,32,0.02,dense,0.0,128,1.034307,0.122222,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.94225,physical_dense_expansion_gate,0.5,-0.009945,0.027018,0.969269,40,80,-0.023936,none,90,13,0.979214,ok,0.122222,2048,90
8,0.05,1.074503,1.021211,1.021211,32,0.02,sparse,0.0,128,1.056245,0.177778,4,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.937371,initial_calibrated_regret,0.533333,-0.040086,0.034397,0.971768,40,80,-0.120254,none,90,17,1.011855,ok,0.177778,2048,90
