accuracy,base_oracle_loss,base_oracle_match_rate,budget,causal_k,context_variant,cv_mean_delta,cv_min_win_rate,cv_safe_margin,cv_win_rate,diagnostic_dim,excess_over_base_oracle,excess_over_generated_oracle,generated_candidates,generated_oracle_accuracy,generated_oracle_loss,generated_oracle_match_rate,heldout_seed,interaction_mode,loss,normalized_utility_weight,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,static_generated_mode_from_train_seeds,static_mode_from_train_seeds,test_samples,total_objects_n,train_reranker_loss,train_seed_count,train_static_loss,validation_samples_per_seed
0.5,0.945257,0.277778,4,8,set_only,-0.00251,0.5,0.0,0.75,3,0.026044,0.028907,4,0.511111,0.942394,0.044444,11,pairwise,0.971301,0.05,diagnostic_cross_seed_static_base_choice,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,generated_2,interaction,90,2048,0.955569,4,0.980965,180
0.5,0.945257,0.0,4,8,set_only,-0.00251,0.5,0.0,0.75,3,0.022933,0.025796,4,0.511111,0.942394,0.077778,11,pairwise,0.96819,0.05,diagnostic_cross_seed_static_generated_choice,40,600,400,0.005,,11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,interaction,90,2048,0.955569,4,0.980965,180
0.511111,0.945257,0.288889,4,8,set_only,-0.00251,0.5,0.0,0.75,3,0.022952,0.025815,4,0.511111,0.942394,0.3,11,pairwise,0.968209,0.05,diagnostic_cross_seed_generated_reranker,40,600,400,0.005,,11,0.022222,0.155556,0.022222,0.022222,0.222222,0.622222,0.022222,0.0,0.133333,generated_2,interaction,90,2048,0.955569,4,0.980965,180
0.511111,0.945257,0.288889,4,8,set_only,-0.00251,0.5,0.0,0.75,3,0.022952,0.025815,4,0.511111,0.942394,0.3,11,pairwise,0.968209,0.05,diagnostic_cross_seed_margin_safe_reranker,40,600,400,0.005,1,11,0.022222,0.155556,0.022222,0.022222,0.222222,0.622222,0.022222,0.0,0.133333,generated_2,interaction,90,2048,0.955569,4,0.980965,180
0.511111,0.945257,0.288889,4,8,set_only,-0.00251,0.5,0.0,0.75,3,0.022952,0.025815,4,0.511111,0.942394,0.3,11,pairwise,0.968209,0.05,diagnostic_cross_seed_cv_safe_reranker,40,600,400,0.005,1,11,0.022222,0.155556,0.022222,0.022222,0.222222,0.622222,0.022222,0.0,0.133333,generated_2,interaction,90,2048,0.955569,4,0.980965,180
0.511111,0.945257,1.0,4,8,set_only,-0.00251,0.5,0.0,0.75,3,0.0,0.002863,4,0.511111,0.942394,0.555556,11,pairwise,0.945257,0.05,base_oracle,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.355556,0.277778,0.044444,0.322222,generated_2,interaction,90,2048,0.955569,4,0.980965,180
0.511111,0.945257,0.555556,4,8,set_only,-0.00251,0.5,0.0,0.75,3,-0.002863,0.0,4,0.511111,0.942394,1.0,11,pairwise,0.942394,0.05,generated_oracle,40,600,400,0.005,,11,0.122222,0.222222,0.077778,0.022222,0.444444,0.333333,0.044444,0.044444,0.133333,generated_2,interaction,90,2048,0.955569,4,0.980965,180
0.5,0.945257,0.277778,4,8,diagnostics_only,-0.005736,0.5,0.0,0.75,3,0.026044,0.028907,4,0.511111,0.942394,0.044444,11,pairwise,0.971301,0.05,diagnostic_cross_seed_static_base_choice,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,generated_2,interaction,90,2048,0.951224,4,0.980965,180
0.5,0.945257,0.0,4,8,diagnostics_only,-0.005736,0.5,0.0,0.75,3,0.022933,0.025796,4,0.511111,0.942394,0.077778,11,pairwise,0.96819,0.05,diagnostic_cross_seed_static_generated_choice,40,600,400,0.005,,11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,interaction,90,2048,0.951224,4,0.980965,180
0.511111,0.945257,0.266667,4,8,diagnostics_only,-0.005736,0.5,0.0,0.75,3,0.02264,0.025503,4,0.511111,0.942394,0.277778,11,pairwise,0.967897,0.05,diagnostic_cross_seed_generated_reranker,40,600,400,0.005,,11,0.022222,0.355556,0.011111,0.011111,0.4,0.377778,0.011111,0.0,0.211111,generated_2,interaction,90,2048,0.951224,4,0.980965,180
