row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,target_mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,route_regret_mean,route_regret_negative_ratio,route_regret_loss_weight,global_delta_loss_weight,target_local_delta_loss_weight,route_regret_compute_cost,route_regret_threshold,route_regret_threshold_policy,route_regret_selection_metric,route_regret_selection_score,seed_count
seed,wpu-cws-indexed-mechanism-factorized,11,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.85,0.5,0.030877,0.029677,0.962964,0.576002,0.459201,4.5,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,11,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.45,0.4,0.101193,0.337833,1.036654,0.632567,0.334797,4.5,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.4,0.6,0.068146,0.217778,1.03288,0.626034,0.111418,4.5,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,11,nominal+high_force+edge_shift+catch_heavy+no_catch,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.9,0.9,0.031349,0.025539,0.938257,0.556921,0.502134,4.9,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,11,nominal+high_force+edge_shift+catch_heavy+no_catch,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.6,0.55,0.07173,0.185162,0.993804,0.601054,0.270674,4.05,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.25,0.5,0.226987,0.973631,1.057101,0.647423,0.234965,4.5,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.25,0.65,0.056432,0.152947,1.086061,0.661618,0.145869,4.9,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,13,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.9,0.6,0.03412,0.037359,0.981964,0.587346,0.519278,4.6,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,13,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.6,0.5,0.073437,0.197448,1.054804,0.636994,0.233237,4.6,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,13,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.45,0.65,0.056081,0.147473,1.102322,0.66717,0.070322,4.6,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,13,nominal+high_force+edge_shift+catch_heavy+no_catch,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.9,0.9,0.031055,0.032031,0.971127,0.580024,0.515062,4.9,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,13,nominal+high_force+edge_shift+catch_heavy+no_catch,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.65,0.6,0.083911,0.189296,1.028032,0.618529,0.27631,4.05,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,13,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.15,0.45,0.176698,0.711835,1.158995,0.706009,0.215933,4.6,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,13,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.25,0.65,0.052817,0.141663,1.182868,0.719934,0.131179,4.9,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,17,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.55,0.55,0.039196,0.040036,1.020403,0.615274,0.180387,4.55,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,17,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.45,0.45,0.11189,0.376497,1.054844,0.63862,0.078244,4.55,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,17,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.55,0.5,0.097759,0.333586,1.076081,0.650779,0.184388,4.55,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,17,nominal+high_force+edge_shift+catch_heavy+no_catch,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.7,0.85,0.041846,0.040334,1.009579,0.607789,0.332306,4.85,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,17,nominal+high_force+edge_shift+catch_heavy+no_catch,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.6,0.55,0.079211,0.191606,1.026435,0.618769,0.222117,4.05,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,17,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.45,0.45,0.221,0.924599,1.089745,0.659972,0.081726,4.55,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,17,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.3,0.65,0.083503,0.252744,1.137885,0.691452,0.063535,4.85,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,19,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.2,0.55,0.044762,0.05878,1.059331,0.642348,0.163301,4.55,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,19,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.0,0.45,0.148966,0.509953,1.081678,0.657288,0.370896,4.55,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,19,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.05,0.5,0.113003,0.403974,1.150111,0.699545,0.31311,4.55,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,19,nominal+high_force+edge_shift+catch_heavy+no_catch,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.35,0.85,0.044725,0.055364,1.021014,0.617466,0.017027,4.85,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,19,nominal+high_force+edge_shift+catch_heavy+no_catch,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.05,0.55,0.092978,0.233539,1.109086,0.674417,0.307212,4.05,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,19,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.0,0.45,0.23554,0.941806,1.16032,0.705767,0.370769,4.55,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,19,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.1,0.55,0.088152,0.275504,1.180384,0.71839,0.267693,4.85,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,23,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.45,0.4,0.03888,0.085781,1.013578,0.606945,0.388567,4.4,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,23,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.4,0.45,0.181575,0.717308,1.028509,0.615894,0.407047,4.4,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,23,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.4,0.4,0.152196,0.623349,1.07785,0.654445,0.040474,4.4,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,23,nominal+high_force+edge_shift+catch_heavy+no_catch,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.75,0.75,0.030768,0.0292,0.918671,0.541873,0.476787,4.8,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,23,nominal+high_force+edge_shift+catch_heavy+no_catch,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.15,0.6,0.056348,0.181523,1.108831,0.673232,0.262158,4.05,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,23,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.15,0.6,0.328534,1.400571,1.138789,0.696924,0.26043,4.4,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.05,0.0,fixed,,,1
